"Id","ActivityDate","Hour","METs"
4702921684,2016-04-23,"u-PM8",20
4702921684,2016-04-23,"v-PM9",27
4702921684,2016-04-23,"w-PM10",16
4702921684,2016-04-23,"x-PM11",10
4702921684,2016-04-24,"a-AM12",10
4702921684,2016-04-24,"b-AM1",10
4702921684,2016-04-24,"c-AM2",10
4702921684,2016-04-24,"d-AM3",10
4702921684,2016-04-24,"e-AM4",10
4702921684,2016-04-24,"f-AM5",10
4702921684,2016-04-24,"g-AM6",11
4702921684,2016-04-24,"h-AM7",13
4702921684,2016-04-24,"i-AM8",15
4702921684,2016-04-24,"j-AM9",19
4702921684,2016-04-24,"k-AM10",22
4702921684,2016-04-24,"l-AM11",17
4702921684,2016-04-24,"m-PM12",40
4702921684,2016-04-24,"n-PM1",47
4702921684,2016-04-24,"o-PM2",24
4702921684,2016-04-24,"p-PM3",13
4702921684,2016-04-24,"q-PM4",11
4702921684,2016-04-24,"r-PM5",19
4702921684,2016-04-24,"s-PM6",28
4702921684,2016-04-24,"t-PM7",25
4702921684,2016-04-24,"u-PM8",20
4702921684,2016-04-24,"v-PM9",14
4702921684,2016-04-24,"w-PM10",13
4702921684,2016-04-24,"x-PM11",10
4702921684,2016-04-25,"a-AM12",10
4702921684,2016-04-25,"b-AM1",10
4702921684,2016-04-25,"c-AM2",10
4702921684,2016-04-25,"d-AM3",10
4702921684,2016-04-25,"e-AM4",10
4702921684,2016-04-25,"f-AM5",12
4702921684,2016-04-25,"g-AM6",19
4702921684,2016-04-25,"h-AM7",14
4702921684,2016-04-25,"i-AM8",12
4702921684,2016-04-25,"j-AM9",11
4702921684,2016-04-25,"k-AM10",13
4702921684,2016-04-25,"l-AM11",13
4702921684,2016-04-25,"m-PM12",13
4702921684,2016-04-25,"n-PM1",15
4702921684,2016-04-25,"o-PM2",15
4702921684,2016-04-25,"p-PM3",13
4702921684,2016-04-25,"q-PM4",14
4702921684,2016-04-25,"r-PM5",22
4702921684,2016-04-25,"s-PM6",18
4702921684,2016-04-25,"t-PM7",31
4702921684,2016-04-25,"u-PM8",21
4702921684,2016-04-25,"v-PM9",28
4702921684,2016-04-25,"w-PM10",19
4702921684,2016-04-25,"x-PM11",10
4702921684,2016-04-26,"a-AM12",10
4702921684,2016-04-26,"b-AM1",10
4702921684,2016-04-26,"c-AM2",10
4702921684,2016-04-26,"d-AM3",10
4702921684,2016-04-26,"e-AM4",10
4702921684,2016-04-26,"f-AM5",11
4702921684,2016-04-26,"g-AM6",22
4702921684,2016-04-26,"h-AM7",15
4702921684,2016-04-26,"i-AM8",10
4702921684,2016-04-26,"j-AM9",10
4702921684,2016-04-26,"k-AM10",10
4702921684,2016-04-26,"l-AM11",13
4702921684,2016-04-26,"m-PM12",14
4702921684,2016-04-26,"n-PM1",12
4702921684,2016-04-26,"o-PM2",13
4702921684,2016-04-26,"p-PM3",12
4702921684,2016-04-26,"q-PM4",11
4702921684,2016-04-26,"r-PM5",21
4702921684,2016-04-26,"s-PM6",22
4702921684,2016-04-26,"t-PM7",21
4702921684,2016-04-26,"u-PM8",19
4702921684,2016-04-26,"v-PM9",20
4702921684,2016-04-26,"w-PM10",14
4702921684,2016-04-26,"x-PM11",10
4702921684,2016-04-27,"a-AM12",10
4702921684,2016-04-27,"b-AM1",10
4702921684,2016-04-27,"c-AM2",10
4702921684,2016-04-27,"d-AM3",10
4702921684,2016-04-27,"e-AM4",10
4702921684,2016-04-27,"f-AM5",11
4702921684,2016-04-27,"g-AM6",24
4702921684,2016-04-27,"h-AM7",17
4702921684,2016-04-27,"i-AM8",12
4702921684,2016-04-27,"j-AM9",12
4702921684,2016-04-27,"k-AM10",12
4702921684,2016-04-27,"l-AM11",12
4702921684,2016-04-27,"m-PM12",14
4702921684,2016-04-27,"n-PM1",13
4702921684,2016-04-27,"o-PM2",12
4702921684,2016-04-27,"p-PM3",14
4702921684,2016-04-27,"q-PM4",14
4702921684,2016-04-27,"r-PM5",18
4702921684,2016-04-27,"s-PM6",19
4702921684,2016-04-27,"t-PM7",18
4702921684,2016-04-27,"u-PM8",30
4702921684,2016-04-27,"v-PM9",20
4702921684,2016-04-27,"w-PM10",11
4702921684,2016-04-27,"x-PM11",10
4702921684,2016-04-28,"a-AM12",10
4702921684,2016-04-28,"b-AM1",10
4702921684,2016-04-28,"c-AM2",10
4702921684,2016-04-28,"d-AM3",10
4702921684,2016-04-28,"e-AM4",10
4702921684,2016-04-28,"f-AM5",10
4702921684,2016-04-28,"g-AM6",19
4702921684,2016-04-28,"h-AM7",13
4702921684,2016-04-28,"i-AM8",12
4702921684,2016-04-28,"j-AM9",25
4702921684,2016-04-28,"k-AM10",12
4702921684,2016-04-28,"l-AM11",12
4702921684,2016-04-28,"m-PM12",21
4702921684,2016-04-28,"n-PM1",12
4702921684,2016-04-28,"o-PM2",12
4702921684,2016-04-28,"p-PM3",13
4702921684,2016-04-28,"q-PM4",13
4702921684,2016-04-28,"r-PM5",20
4702921684,2016-04-28,"s-PM6",16
4702921684,2016-04-28,"t-PM7",32
4702921684,2016-04-28,"u-PM8",19
4702921684,2016-04-28,"v-PM9",20
4702921684,2016-04-28,"w-PM10",15
4702921684,2016-04-28,"x-PM11",10
4702921684,2016-04-29,"a-AM12",10
4702921684,2016-04-29,"b-AM1",10
4702921684,2016-04-29,"c-AM2",10
4702921684,2016-04-29,"d-AM3",10
4702921684,2016-04-29,"e-AM4",10
4702921684,2016-04-29,"f-AM5",10
4702921684,2016-04-29,"g-AM6",22
4702921684,2016-04-29,"h-AM7",17
4702921684,2016-04-29,"i-AM8",12
4702921684,2016-04-29,"j-AM9",19
4702921684,2016-04-29,"k-AM10",12
4702921684,2016-04-29,"l-AM11",14
4702921684,2016-04-29,"m-PM12",22
4702921684,2016-04-29,"n-PM1",15
4702921684,2016-04-29,"o-PM2",14
4702921684,2016-04-29,"p-PM3",16
4702921684,2016-04-29,"q-PM4",15
4702921684,2016-04-29,"r-PM5",24
4702921684,2016-04-29,"s-PM6",24
4702921684,2016-04-29,"t-PM7",25
4702921684,2016-04-29,"u-PM8",21
4702921684,2016-04-29,"v-PM9",19
4702921684,2016-04-29,"w-PM10",15
4702921684,2016-04-29,"x-PM11",10
4702921684,2016-04-30,"a-AM12",10
4702921684,2016-04-30,"b-AM1",10
4702921684,2016-04-30,"c-AM2",10
4702921684,2016-04-30,"d-AM3",10
4702921684,2016-04-30,"e-AM4",10
4702921684,2016-04-30,"f-AM5",10
4702921684,2016-04-30,"g-AM6",12
4702921684,2016-04-30,"h-AM7",15
4702921684,2016-04-30,"i-AM8",18
4702921684,2016-04-30,"j-AM9",19
4702921684,2016-04-30,"k-AM10",17
4702921684,2016-04-30,"l-AM11",32
4702921684,2016-04-30,"m-PM12",23
4702921684,2016-04-30,"n-PM1",28
4702921684,2016-04-30,"o-PM2",30
4702921684,2016-04-30,"p-PM3",24
4702921684,2016-04-30,"q-PM4",18
4702921684,2016-04-30,"r-PM5",14
4702921684,2016-04-30,"s-PM6",10
4702921684,2016-04-30,"t-PM7",10
4702921684,2016-04-30,"u-PM8",10
4702921684,2016-04-30,"v-PM9",10
4702921684,2016-04-30,"w-PM10",10
4702921684,2016-04-30,"x-PM11",10
4702921684,2016-05-01,"a-AM12",10
4702921684,2016-05-01,"b-AM1",10
4702921684,2016-05-01,"c-AM2",10
4702921684,2016-05-01,"d-AM3",10
4702921684,2016-05-01,"e-AM4",10
4702921684,2016-05-01,"f-AM5",10
4702921684,2016-05-01,"g-AM6",10
4702921684,2016-05-01,"h-AM7",10
4702921684,2016-05-01,"i-AM8",10
4702921684,2016-05-01,"j-AM9",10
4702921684,2016-05-01,"k-AM10",10
4702921684,2016-05-01,"l-AM11",10
4702921684,2016-05-01,"m-PM12",10
4702921684,2016-05-01,"n-PM1",10
4702921684,2016-05-01,"o-PM2",10
4702921684,2016-05-01,"p-PM3",10
4702921684,2016-05-01,"q-PM4",10
4702921684,2016-05-01,"r-PM5",10
4702921684,2016-05-01,"s-PM6",10
4702921684,2016-05-01,"t-PM7",10
4702921684,2016-05-01,"u-PM8",10
4702921684,2016-05-01,"v-PM9",10
