"Id","ActivityDate","Hour","StepTotal"
4558609924,2016-05-08,"h-AM7",0
4558609924,2016-05-08,"i-AM8",0
4558609924,2016-05-08,"j-AM9",0
4558609924,2016-05-08,"k-AM10",0
4558609924,2016-05-08,"l-AM11",0
4558609924,2016-05-08,"m-PM12",0
4558609924,2016-05-08,"n-PM1",2136
4558609924,2016-05-08,"o-PM2",1782
4558609924,2016-05-08,"p-PM3",882
4558609924,2016-05-08,"q-PM4",481
4558609924,2016-05-08,"r-PM5",100
4558609924,2016-05-08,"s-PM6",182
4558609924,2016-05-08,"t-PM7",118
4558609924,2016-05-08,"u-PM8",838
4558609924,2016-05-08,"v-PM9",24
4558609924,2016-05-08,"w-PM10",0
4558609924,2016-05-08,"x-PM11",0
4558609924,2016-05-09,"a-AM12",0
4558609924,2016-05-09,"b-AM1",0
4558609924,2016-05-09,"c-AM2",0
4558609924,2016-05-09,"d-AM3",0
4558609924,2016-05-09,"e-AM4",0
4558609924,2016-05-09,"f-AM5",0
4558609924,2016-05-09,"g-AM6",0
4558609924,2016-05-09,"h-AM7",127
4558609924,2016-05-09,"i-AM8",390
4558609924,2016-05-09,"j-AM9",705
4558609924,2016-05-09,"k-AM10",485
4558609924,2016-05-09,"l-AM11",1760
4558609924,2016-05-09,"m-PM12",175
4558609924,2016-05-09,"n-PM1",3432
4558609924,2016-05-09,"o-PM2",976
4558609924,2016-05-09,"p-PM3",444
4558609924,2016-05-09,"q-PM4",575
4558609924,2016-05-09,"r-PM5",139
4558609924,2016-05-09,"s-PM6",92
4558609924,2016-05-09,"t-PM7",496
4558609924,2016-05-09,"u-PM8",503
4558609924,2016-05-09,"v-PM9",785
4558609924,2016-05-09,"w-PM10",348
4558609924,2016-05-09,"x-PM11",19
4558609924,2016-05-10,"a-AM12",37
4558609924,2016-05-10,"b-AM1",92
4558609924,2016-05-10,"c-AM2",0
4558609924,2016-05-10,"d-AM3",0
4558609924,2016-05-10,"e-AM4",0
4558609924,2016-05-10,"f-AM5",0
4558609924,2016-05-10,"g-AM6",0
4558609924,2016-05-10,"h-AM7",0
4558609924,2016-05-10,"i-AM8",0
4558609924,2016-05-10,"j-AM9",0
4558609924,2016-05-10,"k-AM10",0
4558609924,2016-05-10,"l-AM11",101
4558609924,2016-05-10,"m-PM12",209
4558609924,2016-05-10,"n-PM1",150
4558609924,2016-05-10,"o-PM2",313
4558609924,2016-05-10,"p-PM3",43
