"Id","ActivityDate","Hour","Calories"
6775888955,2016-04-27,"t-PM7",77
6775888955,2016-04-27,"u-PM8",77
6775888955,2016-04-27,"v-PM9",77
6775888955,2016-04-27,"w-PM10",77
6775888955,2016-04-27,"x-PM11",77
6775888955,2016-04-28,"a-AM12",77
6775888955,2016-04-28,"b-AM1",77
6775888955,2016-04-28,"c-AM2",77
6775888955,2016-04-28,"d-AM3",77
6775888955,2016-04-28,"e-AM4",77
6775888955,2016-04-28,"f-AM5",77
6775888955,2016-04-28,"g-AM6",77
6775888955,2016-04-28,"h-AM7",77
6775888955,2016-04-28,"i-AM8",77
6775888955,2016-04-28,"j-AM9",77
6775888955,2016-04-28,"k-AM10",77
6775888955,2016-04-28,"l-AM11",77
6775888955,2016-04-28,"m-PM12",77
6775888955,2016-04-28,"n-PM1",103
6775888955,2016-04-28,"o-PM2",203
6775888955,2016-04-28,"p-PM3",77
6775888955,2016-04-28,"q-PM4",77
6775888955,2016-04-28,"r-PM5",77
6775888955,2016-04-28,"s-PM6",77
6775888955,2016-04-28,"t-PM7",77
6775888955,2016-04-28,"u-PM8",77
6775888955,2016-04-28,"v-PM9",77
6775888955,2016-04-28,"w-PM10",77
6775888955,2016-04-28,"x-PM11",77
6775888955,2016-04-29,"a-AM12",77
6775888955,2016-04-29,"b-AM1",77
6775888955,2016-04-29,"c-AM2",77
6775888955,2016-04-29,"d-AM3",77
6775888955,2016-04-29,"e-AM4",77
6775888955,2016-04-29,"f-AM5",77
6775888955,2016-04-29,"g-AM6",77
6775888955,2016-04-29,"h-AM7",77
6775888955,2016-04-29,"i-AM8",77
6775888955,2016-04-29,"j-AM9",77
6775888955,2016-04-29,"k-AM10",77
6775888955,2016-04-29,"l-AM11",77
6775888955,2016-04-29,"m-PM12",77
6775888955,2016-04-29,"n-PM1",77
6775888955,2016-04-29,"o-PM2",77
6775888955,2016-04-29,"p-PM3",77
6775888955,2016-04-29,"q-PM4",77
6775888955,2016-04-29,"r-PM5",77
6775888955,2016-04-29,"s-PM6",77
6775888955,2016-04-29,"t-PM7",77
6775888955,2016-04-29,"u-PM8",77
6775888955,2016-04-29,"v-PM9",77
6775888955,2016-04-29,"w-PM10",77
6775888955,2016-04-29,"x-PM11",77
6775888955,2016-04-30,"a-AM12",77
6775888955,2016-04-30,"b-AM1",77
6775888955,2016-04-30,"c-AM2",77
6775888955,2016-04-30,"d-AM3",77
6775888955,2016-04-30,"e-AM4",77
6775888955,2016-04-30,"f-AM5",77
6775888955,2016-04-30,"g-AM6",77
6775888955,2016-04-30,"h-AM7",77
6775888955,2016-04-30,"i-AM8",77
6775888955,2016-04-30,"j-AM9",77
6775888955,2016-04-30,"k-AM10",77
6775888955,2016-04-30,"l-AM11",77
6775888955,2016-04-30,"m-PM12",77
6775888955,2016-04-30,"n-PM1",77
6775888955,2016-04-30,"o-PM2",77
6775888955,2016-04-30,"p-PM3",77
6775888955,2016-04-30,"q-PM4",77
6775888955,2016-04-30,"r-PM5",77
6775888955,2016-04-30,"s-PM6",77
6775888955,2016-04-30,"t-PM7",214
6775888955,2016-04-30,"u-PM8",98
6775888955,2016-04-30,"v-PM9",187
6775888955,2016-04-30,"w-PM10",151
6775888955,2016-04-30,"x-PM11",173
6775888955,2016-05-01,"a-AM12",158
6775888955,2016-05-01,"b-AM1",77
6775888955,2016-05-01,"c-AM2",77
6775888955,2016-05-01,"d-AM3",77
6775888955,2016-05-01,"e-AM4",77
6775888955,2016-05-01,"f-AM5",77
