"Id","ActivityDate","Hour","Value"
6962181067,2016-05-07,"u-PM8",83
6962181067,2016-05-07,"v-PM9",74
6962181067,2016-05-07,"w-PM10",76
6962181067,2016-05-07,"x-PM11",77
6962181067,2016-05-08,"a-AM12",76
6962181067,2016-05-08,"b-AM1",73
6962181067,2016-05-08,"c-AM2",71
6962181067,2016-05-08,"d-AM3",68
6962181067,2016-05-08,"e-AM4",68
6962181067,2016-05-08,"f-AM5",63
6962181067,2016-05-08,"g-AM6",64
6962181067,2016-05-08,"h-AM7",63
6962181067,2016-05-08,"i-AM8",66
6962181067,2016-05-08,"j-AM9",70
6962181067,2016-05-08,"k-AM10",82
6962181067,2016-05-08,"l-AM11",83
6962181067,2016-05-08,"m-PM12",82
6962181067,2016-05-08,"n-PM1",78
6962181067,2016-05-08,"o-PM2",82
6962181067,2016-05-08,"p-PM3",77
6962181067,2016-05-08,"q-PM4",91
6962181067,2016-05-08,"r-PM5",79
6962181067,2016-05-08,"s-PM6",67
6962181067,2016-05-08,"v-PM9",86
6962181067,2016-05-08,"w-PM10",77
6962181067,2016-05-08,"x-PM11",76
6962181067,2016-05-09,"a-AM12",71
6962181067,2016-05-09,"b-AM1",68
6962181067,2016-05-09,"c-AM2",65
6962181067,2016-05-09,"d-AM3",63
6962181067,2016-05-09,"e-AM4",66
6962181067,2016-05-09,"f-AM5",65
6962181067,2016-05-09,"g-AM6",67
6962181067,2016-05-09,"h-AM7",68
6962181067,2016-05-09,"i-AM8",84
6962181067,2016-05-09,"j-AM9",92
6962181067,2016-05-09,"k-AM10",106
6962181067,2016-05-09,"l-AM11",86
6962181067,2016-05-09,"m-PM12",80
6962181067,2016-05-09,"n-PM1",75
6962181067,2016-05-09,"o-PM2",77
6962181067,2016-05-09,"p-PM3",72
6962181067,2016-05-09,"q-PM4",71
6962181067,2016-05-09,"r-PM5",94
6962181067,2016-05-09,"s-PM6",73
6962181067,2016-05-09,"t-PM7",97
6962181067,2016-05-09,"u-PM8",72
6962181067,2016-05-09,"v-PM9",69
6962181067,2016-05-09,"w-PM10",71
6962181067,2016-05-09,"x-PM11",66
6962181067,2016-05-10,"a-AM12",68
6962181067,2016-05-10,"b-AM1",68
6962181067,2016-05-10,"c-AM2",67
6962181067,2016-05-10,"d-AM3",65
6962181067,2016-05-10,"e-AM4",64
6962181067,2016-05-10,"f-AM5",64
6962181067,2016-05-10,"g-AM6",65
6962181067,2016-05-10,"h-AM7",115
6962181067,2016-05-10,"i-AM8",90
6962181067,2016-05-10,"j-AM9",100
6962181067,2016-05-10,"k-AM10",119
6962181067,2016-05-10,"l-AM11",93
6962181067,2016-05-10,"m-PM12",75
6962181067,2016-05-10,"n-PM1",71
6962181067,2016-05-10,"o-PM2",72
6962181067,2016-05-10,"p-PM3",71
6962181067,2016-05-10,"q-PM4",87
6962181067,2016-05-10,"r-PM5",84
6962181067,2016-05-10,"s-PM6",86
6962181067,2016-05-10,"t-PM7",84
6962181067,2016-05-10,"v-PM9",66
6962181067,2016-05-10,"w-PM10",67
6962181067,2016-05-10,"x-PM11",65
6962181067,2016-05-11,"a-AM12",63
6962181067,2016-05-11,"b-AM1",63
6962181067,2016-05-11,"c-AM2",63
6962181067,2016-05-11,"d-AM3",64
6962181067,2016-05-11,"e-AM4",65
6962181067,2016-05-11,"f-AM5",64
6962181067,2016-05-11,"g-AM6",62
6962181067,2016-05-11,"h-AM7",66
6962181067,2016-05-11,"i-AM8",88
6962181067,2016-05-11,"j-AM9",117
6962181067,2016-05-11,"k-AM10",86
6962181067,2016-05-11,"l-AM11",85
6962181067,2016-05-11,"m-PM12",79
6962181067,2016-05-11,"n-PM1",72
6962181067,2016-05-11,"o-PM2",73
6962181067,2016-05-11,"p-PM3",75
6962181067,2016-05-11,"q-PM4",81
6962181067,2016-05-11,"r-PM5",73
6962181067,2016-05-11,"s-PM6",72
6962181067,2016-05-11,"t-PM7",81
6962181067,2016-05-11,"u-PM8",77
6962181067,2016-05-11,"v-PM9",77
6962181067,2016-05-11,"w-PM10",72
6962181067,2016-05-11,"x-PM11",69
6962181067,2016-05-12,"a-AM12",68
6962181067,2016-05-12,"b-AM1",67
6962181067,2016-05-12,"c-AM2",69
6962181067,2016-05-12,"d-AM3",68
6962181067,2016-05-12,"e-AM4",65
6962181067,2016-05-12,"f-AM5",66
6962181067,2016-05-12,"g-AM6",66
6962181067,2016-05-12,"h-AM7",65
6962181067,2016-05-12,"i-AM8",85
6962181067,2016-05-12,"j-AM9",88
6962181067,2016-05-12,"k-AM10",92
6962181067,2016-05-12,"l-AM11",90
7007744171,2016-04-12,"f-AM5",101
7007744171,2016-04-12,"g-AM6",101
7007744171,2016-04-12,"h-AM7",106
7007744171,2016-04-12,"i-AM8",106
7007744171,2016-04-12,"j-AM9",95
7007744171,2016-04-12,"k-AM10",98
7007744171,2016-04-12,"l-AM11",104
7007744171,2016-04-12,"m-PM12",91
7007744171,2016-04-12,"n-PM1",90
7007744171,2016-04-12,"o-PM2",87
7007744171,2016-04-12,"p-PM3",95
7007744171,2016-04-12,"q-PM4",102
7007744171,2016-04-12,"r-PM5",93
7007744171,2016-04-12,"s-PM6",89
7007744171,2016-04-12,"t-PM7",86
7007744171,2016-04-12,"u-PM8",74
7007744171,2016-04-12,"v-PM9",70
7007744171,2016-04-13,"f-AM5",76
7007744171,2016-04-13,"g-AM6",100
7007744171,2016-04-13,"h-AM7",91
7007744171,2016-04-13,"i-AM8",121
7007744171,2016-04-13,"j-AM9",108
7007744171,2016-04-13,"k-AM10",86
7007744171,2016-04-13,"l-AM11",93
7007744171,2016-04-13,"m-PM12",86
7007744171,2016-04-13,"n-PM1",88
7007744171,2016-04-13,"o-PM2",86
7007744171,2016-04-13,"p-PM3",84
7007744171,2016-04-13,"q-PM4",90
7007744171,2016-04-13,"r-PM5",93
7007744171,2016-04-13,"s-PM6",87
7007744171,2016-04-13,"t-PM7",86
7007744171,2016-04-13,"u-PM8",81
7007744171,2016-04-13,"v-PM9",75
7007744171,2016-04-14,"g-AM6",98
7007744171,2016-04-14,"h-AM7",83
7007744171,2016-04-14,"i-AM8",109
7007744171,2016-04-14,"j-AM9",95
7007744171,2016-04-14,"k-AM10",80
7007744171,2016-04-14,"l-AM11",90
7007744171,2016-04-14,"m-PM12",93
7007744171,2016-04-14,"n-PM1",89
7007744171,2016-04-14,"o-PM2",84
7007744171,2016-04-14,"p-PM3",99
7007744171,2016-04-14,"q-PM4",92
7007744171,2016-04-14,"r-PM5",85
7007744171,2016-04-14,"s-PM6",97
7007744171,2016-04-14,"t-PM7",102
7007744171,2016-04-14,"u-PM8",85
7007744171,2016-04-14,"v-PM9",78
7007744171,2016-04-15,"g-AM6",98
7007744171,2016-04-15,"h-AM7",88
7007744171,2016-04-15,"i-AM8",90
7007744171,2016-04-15,"j-AM9",78
7007744171,2016-04-15,"k-AM10",80
7007744171,2016-04-15,"l-AM11",85
7007744171,2016-04-15,"m-PM12",88
7007744171,2016-04-15,"n-PM1",88
7007744171,2016-04-15,"o-PM2",84
7007744171,2016-04-15,"p-PM3",83
7007744171,2016-04-15,"q-PM4",80
7007744171,2016-04-15,"r-PM5",82
7007744171,2016-04-15,"s-PM6",77
7007744171,2016-04-16,"g-AM6",89
7007744171,2016-04-16,"h-AM7",88
7007744171,2016-04-16,"i-AM8",77
7007744171,2016-04-16,"j-AM9",80
7007744171,2016-04-16,"k-AM10",74
7007744171,2016-04-16,"l-AM11",78
7007744171,2016-04-16,"m-PM12",74
7007744171,2016-04-16,"n-PM1",78
7007744171,2016-04-16,"o-PM2",69
7007744171,2016-04-16,"p-PM3",72
7007744171,2016-04-16,"q-PM4",84
7007744171,2016-04-16,"r-PM5",93
7007744171,2016-04-16,"s-PM6",89
7007744171,2016-04-16,"t-PM7",85
7007744171,2016-04-16,"u-PM8",78
7007744171,2016-04-16,"v-PM9",76
7007744171,2016-04-17,"g-AM6",91
7007744171,2016-04-17,"h-AM7",94
7007744171,2016-04-17,"i-AM8",95
7007744171,2016-04-17,"j-AM9",99
7007744171,2016-04-17,"k-AM10",88
7007744171,2016-04-17,"l-AM11",81
7007744171,2016-04-17,"m-PM12",78
7007744171,2016-04-17,"n-PM1",82
7007744171,2016-04-17,"o-PM2",71
7007744171,2016-04-17,"p-PM3",85
7007744171,2016-04-17,"q-PM4",90
7007744171,2016-04-17,"r-PM5",86
7007744171,2016-04-17,"s-PM6",85
7007744171,2016-04-17,"t-PM7",82
7007744171,2016-04-17,"u-PM8",77
7007744171,2016-04-18,"g-AM6",95
7007744171,2016-04-18,"h-AM7",86
7007744171,2016-04-18,"i-AM8",110
7007744171,2016-04-18,"j-AM9",102
7007744171,2016-04-18,"k-AM10",106
7007744171,2016-04-18,"l-AM11",90
7007744171,2016-04-18,"m-PM12",83
7007744171,2016-04-18,"n-PM1",82
7007744171,2016-04-18,"o-PM2",88
7007744171,2016-04-18,"p-PM3",96
7007744171,2016-04-18,"q-PM4",94
7007744171,2016-04-18,"r-PM5",94
7007744171,2016-04-18,"s-PM6",88
7007744171,2016-04-18,"t-PM7",90
7007744171,2016-04-18,"u-PM8",90
7007744171,2016-04-18,"v-PM9",87
7007744171,2016-04-18,"w-PM10",90
7007744171,2016-04-19,"g-AM6",101
7007744171,2016-04-19,"h-AM7",100
7007744171,2016-04-19,"i-AM8",114
7007744171,2016-04-19,"j-AM9",99
7007744171,2016-04-19,"k-AM10",93
7007744171,2016-04-19,"l-AM11",94
7007744171,2016-04-19,"m-PM12",87
7007744171,2016-04-19,"n-PM1",83
7007744171,2016-04-19,"o-PM2",90
7007744171,2016-04-19,"p-PM3",91
7007744171,2016-04-19,"q-PM4",93
7007744171,2016-04-19,"r-PM5",98
7007744171,2016-04-19,"s-PM6",95
7007744171,2016-04-19,"t-PM7",94
7007744171,2016-04-19,"u-PM8",80
7007744171,2016-04-19,"v-PM9",74
7007744171,2016-04-20,"f-AM5",84
7007744171,2016-04-20,"g-AM6",93
7007744171,2016-04-20,"h-AM7",89
7007744171,2016-04-20,"i-AM8",132
7007744171,2016-04-20,"j-AM9",112
7007744171,2016-04-20,"k-AM10",83
7007744171,2016-04-20,"l-AM11",90
7007744171,2016-04-20,"m-PM12",91
